round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.449711796,0.847793666,0.043635269,0.977052797,70,40,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.436249628,0.848040684,0.043280086,0.977044306,50,35,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.446545964,0.848108614,0.043052873,0.977022692,50,40,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.441345533,0.84771956,0.043700069,0.977015744,60,35,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x00000245D7315158>
30,2.436380842,0.847484893,0.043735436,0.976979464,50,35,25,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.447141513,0.847691771,0.044588379,0.976940095,60,30,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.411317975,0.848077737,0.043205792,0.976928516,70,30,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.446697592,0.848015982,0.043423074,0.976917709,50,40,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.446892716,0.847741187,0.043145202,0.9769077,60,35,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x0000012676865F78>
30,2.444647488,0.84774735,0.043534778,0.976895323,70,40,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.407064929,0.847910999,0.043206759,0.976851323,60,35,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.448924645,0.847268753,0.044253487,0.976841288,60,30,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
