round_epochs,val_loss,val_acc,loss,acc,hidden_layer,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.252059884,0.790631654,0.003825093,0.998825145,2,80,50,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.003289676,0.7897445,0.018238465,0.997372453,2,100,50,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.234495666,0.787792761,0.006223802,0.998063077,2,80,30,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.173512659,0.787704045,0.005061913,0.998372667,2,100,50,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.653800484,0.786728176,0.003327384,0.998864836,2,80,30,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.208967045,0.78646203,0.013733307,0.996110278,2,80,50,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.569829622,0.78588538,0.004446044,0.998571122,2,60,30,0,0,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.419057899,0.785574876,0.003298787,0.998872774,2,60,50,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.050641303,0.78490951,0.006495373,0.998078953,2,80,50,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,2.088604906,0.78433286,0.015139047,0.997372453,2,60,40,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.131147005,0.784155429,0.006620535,0.998078953,2,80,50,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.280599273,0.783977999,0.004431424,0.998594937,2,80,30,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,0.855852568,0.783933641,0.007702713,0.997674105,2,60,50,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.173042927,0.783711852,0.011509423,0.996880284,2,100,50,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.073204556,0.783090845,0.006604687,0.998063077,2,100,40,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.28589009,0.78144961,0.004752216,0.998571122,2,60,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.285861025,0.781183463,0.005173869,0.998483802,2,100,50,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.018542655,0.780251952,0.007508121,0.997888436,2,80,50,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.089798862,0.779985806,0.015169828,0.996007081,2,80,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.968922837,0.778034067,0.004792588,0.998642566,2,100,20,0,0,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.150809609,0.778034067,0.016678707,0.995586356,2,100,20,0,0,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.982736049,0.777634847,0.008043442,0.997658228,2,80,30,0,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.343668255,0.776836409,0.003527535,0.998856898,2,80,30,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.005986411,0.77546132,0.007957855,0.997674105,2,100,30,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.993429386,0.774707239,0.006040947,0.998253594,2,60,40,0,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.229201986,0.774662881,0.004484448,0.998666381,2,60,30,0,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.11423696,0.774618524,0.007273634,0.997816993,2,80,20,0,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.12320982,0.77430802,0.005755285,0.998325038,2,60,50,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.995932342,0.774174947,0.00682909,0.998047201,2,80,50,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.379100923,0.773642654,0.008018121,0.99778524,2,60,40,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.089499484,0.772844216,0.006676386,0.997983695,2,60,40,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.320682612,0.772533712,0.007632494,0.997809054,2,100,30,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.155479505,0.77217885,0.01379406,0.996126154,2,80,40,0,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.105108228,0.771912704,0.007306985,0.997896375,2,100,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.284054867,0.769960965,0.007791586,0.997713796,2,80,40,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.519897764,0.769162527,0.008110989,0.997658228,2,60,30,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.312430822,0.768807665,0.005698088,0.998293285,2,100,30,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.25915693,0.76601313,0.014098435,0.99605471,2,80,50,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.146432799,0.765924414,0.011764726,0.996832655,2,60,20,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.348459672,0.765746984,0.006700508,0.99795988,2,80,20,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.036820639,0.764638041,0.007173971,0.997944004,2,80,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.194197442,0.762908091,0.0144037,0.995951513,2,60,40,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.119335945,0.758161817,0.01932649,0.994729029,2,60,20,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,3.813126321,0.747249823,0.286765432,0.978408072,2,60,50,0,0,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.166968852,0.740196948,0.486465467,0.969485525,2,60,40,0,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.359995726,0.74015259,0.147381784,0.978344566,2,60,30,0,0,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,3.890242493,0.738644429,0.280868669,0.977852397,2,100,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.275651177,0.734696593,0.576867973,0.957086042,2,80,30,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.474681298,0.722365153,0.818713822,0.949020822,2,80,30,0,0,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
