round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.769122337,0.805447126,0.002660793,0.998983909,80,50,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.722187709,0.805092264,0.008811466,0.998063077,80,40,15,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.781182751,0.805003549,0.003573442,0.998817207,100,50,15,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.580218266,0.804914833,0.004881377,0.998721948,100,60,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.888720615,0.804826118,0.004125939,0.998650504,100,50,20,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.792724489,0.804737402,0.004994926,0.99849174,80,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.755943084,0.804648687,0.003050923,0.998960095,100,60,30,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.497221888,0.804515614,0.003447294,0.99880133,100,40,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.845767476,0.804471256,0.003468317,0.998841021,75,40,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.820280305,0.804338183,0.002643891,0.9990236,75,50,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.849779888,0.804249468,0.020098737,0.996777087,80,50,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
