round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,0.898200523,0.763972676,0.008123792,0.997610599,100,60,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.557496473,0.797196593,0.00287408,0.999007724,100,60,30,15,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.471167286,0.805801987,0.002711945,0.998991847,75,60,40,15,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.788845975,0.812588715,0.010221607,0.99773761,80,60,30,15,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,5.735422361,0.644162527,2.27556959,0.858818953,75,60,40,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510288,0.43075763,7.152803479,0.555881022,80,50,30,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.000002842,0.766988999,0.009478701,0.997293071,75,60,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.352337751,0.798837828,0.003051964,0.999007724,100,50,40,15,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.435290504,0.805668914,0.002882102,0.998975971,75,60,40,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,5.683945129,0.647356281,2.807409586,0.825295897,90,60,30,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.05967735,0.773243435,0.00879029,0.997467711,90,50,30,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.141418112,0.794978708,0.003041018,0.998928342,100,50,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.116923797,0.798837828,0.005541569,0.99840442,75,60,30,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.900093837,0.814939674,0.004865184,0.99849174,90,60,30,15,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.273213489,0.809128815,0.003028746,0.998912465,100,60,30,20,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.588160966,0.806112491,0.004617051,0.998483802,100,50,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.779668558,0.814363023,0.011290517,0.997578846,80,60,30,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591139,0.33081973,4.965816414,0.691330682,75,60,40,15,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,0.980132155,0.800257275,0.011360637,0.996777087,90,50,40,20,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,0.994751609,0.794668204,0.004497756,0.998579061,100,60,30,20,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591139,0.33081973,10.23371414,0.364578124,90,50,30,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.023526732,0.784022356,0.005439262,0.998412358,75,50,30,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.632097154,0.802430802,0.002905188,0.998912465,80,50,30,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.002614352,0.789079134,0.008792026,0.997610599,90,60,30,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.865007511,0.824609652,0.011625179,0.99773761,100,60,30,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.627244754,0.821105394,0.010761511,0.997761425,90,50,40,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.030936313,0.771513485,0.004279195,0.998658443,75,50,40,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.071128521,0.791119588,0.004516737,0.998523493,75,50,40,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.229017931,0.802696948,0.003080697,0.998960095,80,60,40,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.271845623,0.797551455,0.00484111,0.998483802,75,60,30,20,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.7859114,0.33081973,9.547484011,0.407317441,100,50,30,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
